message,department,category
please assist with app update issues please help,Technical Support,App Update Issues
please assist with notification problems thanks,Technical Support,Notification Problems
i am facing payment failures,Payments & Billing,Payment Failures
please assist with vehicle availability,Vehicle & Driver Support,Vehicle Availability
having trouble with payment failures please help,Payments & Billing,Payment Failures
please assist with complaint registration please help,Feedback & Complaints,Complaint Registration
i have an issue with service delays thanks,Service & Operations,Service Delays
please assist with advance booking support urgent,Ride Booking,Advance Booking Support
i have an issue with pickup drop problems please help,Service & Operations,Pickup & Drop Problems
i am facing gpstracking issues please help,Technical Support,GPS/Tracking Issues
i have an issue with service availability,Service & Operations,Service Availability
i have an issue with schedule changes thanks,Ride Booking,Schedule Changes
hey i am facing route issues urgent,Service & Operations,Route Issues
hello i am facing booking failures urgent,Ride Booking,Booking Failures
i am facing notification problems urgent,Technical Support,Notification Problems
please assist with gpstracking issues please help,Technical Support,GPS/Tracking Issues
having trouble with charging issues thanks,Vehicle & Driver Support,Charging Issues
hi i am facing login problems thanks,Account Management,Login Problems
hello i am facing account deactivation thanks,Account Management,Account Deactivation
having trouble with complaint registration thanks,Feedback & Complaints,Complaint Registration
please assist with schedule changes,Ride Booking,Schedule Changes
please assist with account creation issues please help,Account Management,Account Creation Issues
i have an issue with complaint registration urgent,Feedback & Complaints,Complaint Registration
hello i am facing pickup drop problems please help,Service & Operations,Pickup & Drop Problems
having trouble with app crashes thanks,Technical Support,App Crashes
hello i am facing loyalty points thanks,Promotions & Discounts,Loyalty Points
please assist with account deactivation,Account Management,Account Deactivation
having trouble with service availability urgent,Service & Operations,Service Availability
please assist with refund requests,Payments & Billing,Refund Requests
i am facing safety concerns urgent,Feedback & Complaints,Safety Concerns
