message,department,category
I am facing route issues. Urgent.,Service & Operations,Route Issues
Having trouble with pickup & drop problems.,Service & Operations,Pickup & Drop Problems
Please assist with subscription management. Please help.,Account Management,Subscription Management
Please assist with driver behaviour. Please help.,Vehicle & Driver Support,Driver Behaviour
Hello I am facing promo code not working. Please help.,Promotions & Discounts,Promo Code Not Working
Having trouble with loyalty points.,Promotions & Discounts,Loyalty Points
I have an issue with cashback issues. Thanks!,Promotions & Discounts,Cashback Issues
Having trouble with charging issues. Thanks!,Vehicle & Driver Support,Charging Issues
Having trouble with payment failures. Urgent.,Payments & Billing,Payment Failures
Hi I am facing safety concerns. Please help.,Feedback & Complaints,Safety Concerns
I have an issue with ride cancellation.,Ride Booking,Ride Cancellation
Having trouble with service feedback. Thanks!,Feedback & Complaints,Service Feedback
Hi I am facing service feedback. Please help.,Feedback & Complaints,Service Feedback
Please assist with promo code not working. Please help.,Promotions & Discounts,Promo Code Not Working
I have an issue with service delays. Thanks!,Service & Operations,Service Delays
Hi I am facing refund requests. Thanks!,Payments & Billing,Refund Requests
I am facing payment failures. Thanks!,Payments & Billing,Payment Failures
Hello I am facing route issues.,Service & Operations,Route Issues
Having trouble with notification problems. Please help.,Technical Support,Notification Problems
I have an issue with ride cancellation.,Ride Booking,Ride Cancellation
I have an issue with service feedback.,Feedback & Complaints,Service Feedback
Please assist with booking failures. Thanks!,Ride Booking,Booking Failures
I have an issue with account deactivation. Please help.,Account Management,Account Deactivation
Having trouble with pickup & drop problems.,Service & Operations,Pickup & Drop Problems
Please assist with refund requests.,Payments & Billing,Refund Requests
Having trouble with cashback issues. Urgent.,Promotions & Discounts,Cashback Issues
Having trouble with app update issues. Please help.,Technical Support,App Update Issues
Having trouble with pickup & drop problems.,Service & Operations,Pickup & Drop Problems
Hello I am facing promo code not working. Thanks!,Promotions & Discounts,Promo Code Not Working
Having trouble with charging issues. Please help.,Vehicle & Driver Support,Charging Issues
I have an issue with advance booking support. Please help.,Ride Booking,Advance Booking Support
Please assist with subscription renewal. Thanks!,Payments & Billing,Subscription Renewal
Please assist with service availability. Urgent.,Service & Operations,Service Availability
Hello I am facing gps/tracking issues.,Technical Support,GPS/Tracking Issues
Having trouble with subscription renewal.,Payments & Billing,Subscription Renewal
I have an issue with app crashes. Please help.,Technical Support,App Crashes
Hello I am facing route issues.,Service & Operations,Route Issues
I am facing discount not applied.,Promotions & Discounts,Discount Not Applied
Having trouble with ride cancellation.,Ride Booking,Ride Cancellation
Having trouble with pickup & drop problems. Urgent.,Service & Operations,Pickup & Drop Problems
Having trouble with customer support response time.,Feedback & Complaints,Customer Support Response Time
I am facing vehicle condition. Please help.,Vehicle & Driver Support,Vehicle Condition
Having trouble with charging issues.,Vehicle & Driver Support,Charging Issues
Hi I am facing route issues. Please help.,Service & Operations,Route Issues
Having trouble with subscription renewal. Please help.,Payments & Billing,Subscription Renewal
Please assist with schedule changes. Please help.,Ride Booking,Schedule Changes
Having trouble with login problems.,Account Management,Login Problems
I have an issue with account deactivation. Urgent.,Account Management,Account Deactivation
I have an issue with service availability.,Service & Operations,Service Availability
Hello I am facing payment failures.,Payments & Billing,Payment Failures
Please assist with app update issues. Please help.,Technical Support,App Update Issues
Please assist with notification problems. Thanks!,Technical Support,Notification Problems
I am facing payment failures.,Payments & Billing,Payment Failures
Please assist with vehicle availability.,Vehicle & Driver Support,Vehicle Availability
Having trouble with payment failures. Please help.,Payments & Billing,Payment Failures
Please assist with complaint registration. Please help.,Feedback & Complaints,Complaint Registration
I have an issue with service delays. Thanks!,Service & Operations,Service Delays
Please assist with advance booking support. Urgent.,Ride Booking,Advance Booking Support
I have an issue with pickup & drop problems. Please help.,Service & Operations,Pickup & Drop Problems
I am facing gps/tracking issues. Please help.,Technical Support,GPS/Tracking Issues
I have an issue with service availability.,Service & Operations,Service Availability
I have an issue with schedule changes. Thanks!,Ride Booking,Schedule Changes
Hey I am facing route issues. Urgent.,Service & Operations,Route Issues
Hello I am facing booking failures. Urgent.,Ride Booking,Booking Failures
I am facing notification problems. Urgent.,Technical Support,Notification Problems
Please assist with gps/tracking issues. Please help.,Technical Support,GPS/Tracking Issues
Having trouble with charging issues. Thanks!,Vehicle & Driver Support,Charging Issues
Hi I am facing login problems. Thanks!,Account Management,Login Problems
Hello I am facing account deactivation. Thanks!,Account Management,Account Deactivation
Having trouble with complaint registration. Thanks!,Feedback & Complaints,Complaint Registration
Please assist with schedule changes.,Ride Booking,Schedule Changes
Please assist with account creation issues. Please help.,Account Management,Account Creation Issues
I have an issue with complaint registration. Urgent.,Feedback & Complaints,Complaint Registration
Hello I am facing pickup & drop problems. Please help.,Service & Operations,Pickup & Drop Problems
Having trouble with app crashes. Thanks!,Technical Support,App Crashes
Hello I am facing loyalty points. Thanks!,Promotions & Discounts,Loyalty Points
Please assist with account deactivation.,Account Management,Account Deactivation
Having trouble with service availability. Urgent.,Service & Operations,Service Availability
Please assist with refund requests.,Payments & Billing,Refund Requests
I am facing safety concerns. Urgent.,Feedback & Complaints,Safety Concerns
